iter	MAE
0	4832.615023
1	4786.204796
2	4744.129594
3	4701.527105
4	4658.140592
5	4616.773204
6	4573.84291
7	4536.971885
8	4500.056495
9	4463.504515
10	4426.661473
11	4393.61588
12	4358.305646
13	4323.529319
14	4291.864401
15	4259.499038
16	4226.851247
17	4193.931808
18	4163.042858
19	4131.221204
20	4103.165088
21	4073.529083
22	4047.960688
23	4019.98436
24	3992.55929
25	3964.73873
26	3937.388965
27	3911.623582
28	3886.890957
29	3861.914004
30	3838.600591
31	3819.336749
32	3797.743876
33	3777.139693
34	3758.371165
35	3738.183517
36	3718.564794
37	3699.759594
38	3682.179912
39	3663.370619
40	3646.141956
41	3629.150704
42	3612.337393
43	3596.3303
44	3581.868092
45	3567.384458
46	3551.897136
47	3538.535869
48	3523.867464
49	3510.291083
50	3498.539387
51	3484.793655
52	3472.533389
53	3461.955039
54	3451.271416
55	3441.04134
56	3431.428868
57	3420.286996
58	3409.587922
59	3398.967611
60	3388.768907
61	3377.848116
62	3369.403647
63	3358.95194
64	3350.858821
65	3342.410438
66	3334.951582
67	3327.903666
68	3320.050348
69	3312.558753
70	3305.255721
71	3299.933728
72	3294.904362
73	3288.953883
74	3283.972078
75	3279.520385
76	3274.322833
77	3268.744461
78	3264.571882
79	3259.976637
80	3256.152423
81	3251.932658
82	3248.957063
83	3245.349592
84	3241.826133
85	3238.755152
86	3235.557128
87	3235.544219
88	3233.739834
89	3230.916952
90	3228.911842
91	3227.527239
92	3226.402509
93	3224.011978
94	3221.612238
95	3221.132755
96	3220.592466
97	3220.782992
98	3217.362372
99	3216.177828
100	3215.555899
101	3216.446836
102	3214.573371
103	3214.196648
104	3213.539954
105	3212.236707
106	3211.66976
107	3211.538127
108	3210.953529
109	3210.439863
110	3209.813107
111	3208.999762
112	3207.482252
113	3206.549118
114	3206.332549
115	3206.171222
116	3205.641614
117	3204.808611
118	3205.602984
119	3205.853576
120	3205.836295
121	3205.535019
122	3204.969135
123	3205.743572
124	3204.76567
125	3204.644637
126	3205.129423
127	3205.127113
128	3204.747256
129	3204.354623
130	3204.285487
131	3204.359757
132	3204.835617
133	3204.997259
134	3204.601961
135	3205.279428
136	3204.428219
137	3205.369757
138	3204.954309
139	3205.604138
140	3205.855518
141	3206.416797
142	3206.856596
143	3207.449196
144	3206.847866
145	3206.645865
146	3206.813094
147	3207.192066
148	3207.396893
149	3207.866309
150	3207.559513
151	3206.323963
152	3206.835607
153	3207.759748
154	3207.956533
155	3207.806552
156	3207.494215
157	3207.95856
158	3208.323418
159	3207.894506
160	3207.58729
161	3207.737366
162	3207.897943
163	3208.572355
164	3208.635159
165	3207.801798
166	3208.554319
167	3207.999189
168	3208.70321
169	3209.09078
170	3209.803447
171	3209.998559
172	3209.28174
173	3209.387303
174	3210.109198
175	3210.903212
176	3211.383524
177	3211.220001
178	3211.702382
179	3211.715488
180	3211.546908
181	3211.860966
182	3211.854567
183	3212.120983
184	3212.134938
185	3211.666321
186	3212.268728
187	3212.522287
188	3212.147794
189	3211.734161
190	3211.748068
191	3212.016752
192	3212.59219
193	3212.829161
194	3212.373
195	3212.480372
196	3212.930191
197	3213.171174
198	3212.528821
199	3212.210615
200	3210.895948
201	3211.400554
202	3211.790384
203	3212.147458
204	3212.449204
205	3212.003496
206	3211.703813
