iter	Passed	Remaining
0	14	29602
1	28	28522
2	42	28558
3	58	28955
4	69	27646
5	85	28297
6	103	29488
7	121	30261
8	136	30286
9	152	30399
10	167	30370
11	183	30448
12	198	30394
13	214	30494
14	229	30328
15	242	30063
16	253	29515
17	267	29494
18	282	29501
19	294	29201
20	311	29383
21	327	29461
22	340	29298
23	354	29146
24	369	29202
25	384	29202
26	398	29120
27	413	29101
28	429	29174
29	444	29208
30	455	28903
31	470	28954
32	481	28702
33	496	28696
34	511	28697
35	528	28819
36	543	28855
37	559	28869
38	574	28868
39	590	28913
40	605	28950
41	618	28812
42	634	28871
43	652	29011
44	665	28919
45	681	28958
46	698	29036
47	712	28990
48	729	29026
49	747	29138
50	764	29226
51	781	29258
52	795	29234
53	813	29333
54	830	29354
55	846	29377
56	865	29509
57	883	29566
58	900	29632
59	917	29677
60	933	29673
61	950	29705
62	969	29795
63	988	29892
64	1004	29917
65	1021	29928
66	1038	29963
67	1058	30070
68	1080	30249
69	1103	30414
70	1121	30467
71	1135	30407
72	1156	30539
73	1173	30542
74	1186	30452
75	1201	30425
76	1215	30349
77	1230	30314
78	1244	30252
79	1260	30247
80	1277	30262
81	1291	30218
82	1309	30248
83	1323	30194
84	1337	30138
85	1355	30159
86	1375	30244
87	1394	30294
88	1406	30192
89	1424	30226
90	1441	30234
91	1459	30278
92	1476	30267
93	1493	30290
94	1510	30282
95	1523	30212
96	1540	30213
97	1557	30226
98	1574	30224
99	1589	30199
100	1603	30147
101	1622	30191
102	1642	30250
103	1655	30181
104	1673	30194
105	1691	30217
106	1704	30158
107	1720	30132
108	1735	30110
109	1749	30062
110	1762	29989
111	1777	29964
112	1790	29900
113	1807	29905
114	1823	29884
115	1839	29876
116	1855	29861
117	1871	29854
118	1888	29857
119	1902	29805
120	1917	29782
121	1935	29789
122	1949	29748
123	1962	29687
124	1979	29687
125	1991	29619
126	2006	29586
127	2023	29589
128	2035	29525
129	2053	29532
130	2069	29526
131	2081	29459
132	2099	29474
133	2117	29480
134	2132	29465
135	2151	29488
136	2167	29477
137	2185	29489
138	2200	29467
139	2218	29475
140	2236	29484
141	2251	29461
142	2268	29464
143	2286	29468
144	2304	29478
145	2317	29426
146	2334	29432
147	2352	29432
148	2368	29426
149	2385	29416
150	2401	29407
151	2417	29393
152	2432	29363
153	2449	29364
154	2468	29380
155	2485	29376
156	2501	29358
157	2518	29366
158	2534	29350
159	2552	29349
160	2571	29374
161	2586	29343
162	2601	29320
163	2619	29327
164	2639	29351
165	2660	29389
166	2676	29378
167	2694	29377
168	2711	29375
169	2725	29335
170	2743	29344
171	2760	29342
172	2777	29332
173	2790	29285
174	2808	29285
175	2825	29286
176	2842	29273
177	2859	29270
